Time(s), T_gas(K), N_gas(#/cm^3), E, H2, O2, H, O, OH, O2(A1)
1e-11, 400, 1.83473e+19, 10300.5, 3.0585e+18, 1.52833e+18, 2674.31, 1422.81, 1.76554, 139.188
2e-11, 400, 1.83473e+19, 10610.5, 3.0585e+18, 1.52833e+18, 5445.1, 2889.32, 7.12031, 282.58
3e-11, 400, 1.83473e+19, 10930.5, 3.0585e+18, 1.52833e+18, 8314.33, 4400.93, 16.1564, 430.31
4e-11, 400, 1.83473e+19, 11260.7, 3.0585e+18, 1.52833e+18, 11284.1, 5959.07, 28.9684, 582.517
5e-11, 400, 1.83473e+19, 11601.4, 3.0585e+18, 1.52833e+18, 14356.6, 7565.2, 45.6544, 739.344
6e-11, 400, 1.83473e+19, 11953, 3.0585e+18, 1.52833e+18, 17534.4, 9220.86, 66.3156, 900.937
7e-11, 400, 1.83473e+19, 12315.7, 3.0585e+18, 1.52833e+18, 20819.9, 10927.6, 91.0568, 1067.45
8e-11, 400, 1.83473e+19, 12690.1, 3.0585e+18, 1.52833e+18, 24215.8, 12687.1, 119.986, 1239.04
9e-11, 400, 1.83473e+19, 13076.3, 3.0585e+18, 1.52833e+18, 27725.1, 14500.9, 153.216, 1415.86
1e-10, 400, 1.83473e+19, 13474.9, 3.0585e+18, 1.52833e+18, 31350.8, 16370.8, 190.861, 1598.09
1.1e-10, 400, 1.83473e+19, 13886.1, 3.0585e+18, 1.52833e+18, 35095.9, 18298.6, 233.042, 1785.89
1.2e-10, 400, 1.83473e+19, 14310.4, 3.0585e+18, 1.52833e+18, 38963.9, 20286.1, 279.881, 1979.45
1.3e-10, 400, 1.83473e+19, 14748.2, 3.0585e+18, 1.52833e+18, 42958.1, 22335.2, 331.507, 2178.94
1.4e-10, 400, 1.83473e+19, 15199.9, 3.0585e+18, 1.52833e+18, 47082.2, 24447.9, 388.05, 2384.56
1.5e-10, 400, 1.83473e+19, 15665.9, 3.0585e+18, 1.52833e+18, 51339.8, 26626.1, 449.648, 2596.49
1.6e-10, 400, 1.83473e+19, 16146.8, 3.0585e+18, 1.52833e+18, 55735, 28871.9, 516.439, 2814.94
1.7e-10, 400, 1.83473e+19, 16642.9, 3.0585e+18, 1.52833e+18, 60271.7, 31187.5, 588.569, 3040.12
1.8e-10, 400, 1.83473e+19, 17154.7, 3.0585e+18, 1.52833e+18, 64954.2, 33575, 666.188, 3272.24
1.9e-10, 400, 1.83473e+19, 17682.8, 3.0585e+18, 1.52833e+18, 69786.8, 36036.8, 749.45, 3511.52
2e-10, 400, 1.83473e+19, 18227.6, 3.0585e+18, 1.52833e+18, 74774.1, 38575.2, 838.515, 3758.18
2.1e-10, 400, 1.83473e+19, 18789.7, 3.0585e+18, 1.52833e+18, 79920.6, 41192.6, 933.547, 4012.47
2.2e-10, 400, 1.83473e+19, 19369.6, 3.0585e+18, 1.52833e+18, 85231.3, 43891.5, 1034.72, 4274.62
2.3e-10, 400, 1.83473e+19, 19967.9, 3.0585e+18, 1.52833e+18, 90711.2, 46674.5, 1142.2, 4544.87
2.4e-10, 400, 1.83473e+19, 20585.2, 3.0585e+18, 1.52833e+18, 96365.5, 49544.2, 1256.17, 4823.5
2.5e-10, 400, 1.83473e+19, 21222, 3.0585e+18, 1.52833e+18, 102200, 52503.4, 1376.83, 5110.76
2.6e-10, 400, 1.83473e+19, 21878.9, 3.0585e+18, 1.52833e+18, 108219, 55554.9, 1504.36, 5406.92
2.7e-10, 400, 1.83473e+19, 22556.7, 3.0585e+18, 1.52833e+18, 114429, 58701.6, 1638.96, 5712.28
2.8e-10, 400, 1.83473e+19, 23255.9, 3.0585e+18, 1.52833e+18, 120837, 61946.5, 1780.84, 6027.11
2.9e-10, 400, 1.83473e+19, 23977.3, 3.0585e+18, 1.52833e+18, 127447, 65292.8, 1930.21, 6351.72
3e-10, 400, 1.83473e+19, 24721.4, 3.0585e+18, 1.52833e+18, 134267, 68743.6, 2087.28, 6686.42
3.1e-10, 400, 1.83473e+19, 25489.1, 3.0585e+18, 1.52833e+18, 141302, 72302.2, 2252.29, 7031.53
3.2e-10, 400, 1.83473e+19, 26281.1, 3.0585e+18, 1.52833e+18, 148561, 75972, 2425.47, 7387.37
3.3e-10, 400, 1.83473e+19, 27098.2, 3.0585e+18, 1.52833e+18, 156049, 79756.6, 2607.05, 7754.29
3.4e-10, 400, 1.83473e+19, 27941, 3.0585e+18, 1.52833e+18, 163774, 83659.6, 2797.29, 8132.64
3.5e-10, 400, 1.83473e+19, 28810.6, 3.0585e+18, 1.52833e+18, 171743, 87684.6, 2996.44, 8522.77
3.6e-10, 400, 1.83473e+19, 29707.6, 3.0585e+18, 1.52833e+18, 179963, 91835.6, 3204.76, 8925.06
3.7e-10, 400, 1.83473e+19, 30632.9, 3.0585e+18, 1.52833e+18, 188444, 96116.5, 3422.53, 9339.9
3.8e-10, 400, 1.83473e+19, 31587.6, 3.0585e+18, 1.52833e+18, 197193, 100531, 3650.03, 9767.68
3.9e-10, 400, 1.83473e+19, 32572.3, 3.0585e+18, 1.52833e+18, 206218, 105085, 3887.55, 10208.8
4e-10, 400, 1.83473e+19, 33588.2, 3.0585e+18, 1.52833e+18, 215528, 109780, 4135.38, 10663.7
4.1e-10, 400, 1.83473e+19, 34636.2, 3.0585e+18, 1.52833e+18, 225132, 114623, 4393.84, 11132.8
4.2e-10, 400, 1.83473e+19, 35717.3, 3.0585e+18, 1.52833e+18, 235039, 119618, 4663.24, 11616.6
4.3e-10, 400, 1.83473e+19, 36832.6, 3.0585e+18, 1.52833e+18, 245259, 124769, 4943.92, 12115.5
4.4e-10, 400, 1.83473e+19, 37983, 3.0585e+18, 1.52833e+18, 255802, 130082, 5236.2, 12629.9
4.5e-10, 400, 1.83473e+19, 39169.9, 3.0585e+18, 1.52833e+18, 266677, 135561, 5540.45, 13160.5
4.6e-10, 400, 1.83473e+19, 40394.1, 3.0585e+18, 1.52833e+18, 277896, 141212, 5857.02, 13707.7
4.7e-10, 400, 1.83473e+19, 41657.1, 3.0585e+18, 1.52833e+18, 289469, 147041, 6186.29, 14272
4.8e-10, 400, 1.83473e+19, 42959.9, 3.0585e+18, 1.52833e+18, 301407, 153052, 6528.63, 14853.9
4.9e-10, 400, 1.83473e+19, 44303.8, 3.0585e+18, 1.52833e+18, 313721, 159252, 6884.45, 15454.1
5e-10, 400, 1.83473e+19, 45690.2, 3.0585e+18, 1.52833e+18, 326424, 165646, 7254.16, 16073
5.1e-10, 400, 1.83473e+19, 47120.4, 3.0585e+18, 1.52833e+18, 339528, 172241, 7638.17, 16711.4
5.2e-10, 400, 1.83473e+19, 48595.6, 3.0585e+18, 1.52833e+18, 353046, 179043, 8036.92, 17369.7
5.3e-10, 400, 1.83473e+19, 50117.5, 3.0585e+18, 1.52833e+18, 366990, 186059, 8450.86, 18048.7
5.4e-10, 400, 1.83473e+19, 51687.4, 3.0585e+18, 1.52833e+18, 381373, 193295, 8880.46, 18748.9
5.5e-10, 400, 1.83473e+19, 53306.8, 3.0585e+18, 1.52833e+18, 396211, 200758, 9326.19, 19471.1
5.6e-10, 400, 1.83473e+19, 54977.3, 3.0585e+18, 1.52833e+18, 411516, 208456, 9788.54, 20216
5.7e-10, 400, 1.83473e+19, 56700.5, 3.0585e+18, 1.52833e+18, 427304, 216395, 10268, 20984.2
5.8e-10, 400, 1.83473e+19, 58478.1, 3.0585e+18, 1.52833e+18, 443590, 224584, 10765.2, 21776.5
5.9e-10, 400, 1.83473e+19, 60311.8, 3.0585e+18, 1.52833e+18, 460390, 233030, 11280.5, 22593.6
6e-10, 400, 1.83473e+19, 62203.4, 3.0585e+18, 1.52833e+18, 477719, 241742, 11814.6, 23436.4
6.1e-10, 400, 1.83473e+19, 64154.6, 3.0585e+18, 1.52833e+18, 495596, 250727, 12368, 24305.7
6.2e-10, 400, 1.83473e+19, 66167.4, 3.0585e+18, 1.52833e+18, 514035, 259994, 12941.4, 25202.2
6.3e-10, 400, 1.83473e+19, 68243.6, 3.0585e+18, 1.52833e+18, 533057, 269553, 13535.3, 26126.9
6.4e-10, 400, 1.83473e+19, 70385.4, 3.0585e+18, 1.52833e+18, 552678, 279413, 14150.4, 27080.6
6.5e-10, 400, 1.83473e+19, 72594.7, 3.0585e+18, 1.52833e+18, 572918, 289582, 14787.3, 28064.3
